Date,Close
2023/12/13,"4,707.09"
2023/12/12,"4,643.70"
2023/12/11,"4,622.44"
2023/12/8,"4,604.37"
2023/12/7,"4,585.59"
2023/12/6,"4,549.34"
2023/12/5,"4,567.18"
2023/12/4,"4,569.78"
2023/12/1,"4,594.63"
2023/11/30,"4,567.80"
2023/11/29,"4,550.58"
2023/11/28,"4,554.89"
2023/11/27,"4,550.43"
2023/11/24,"4,559.34"
2023/11/22,"4,556.62"
2023/11/21,"4,538.19"
2023/11/20,"4,547.38"
2023/11/17,"4,514.02"
2023/11/16,"4,508.24"
2023/11/15,"4,502.88"
2023/11/14,"4,495.70"
2023/11/13,"4,411.55"
2023/11/10,"4,415.24"
2023/11/9,"4,347.35"
2023/11/8,"4,382.78"
2023/11/7,"4,378.38"
2023/11/6,"4,365.98"
2023/11/3,"4,358.34"
2023/11/2,"4,317.78"
2023/11/1,"4,237.86"
2023/10/31,"4,193.80"
2023/10/30,"4,166.82"
2023/10/27,"4,117.37"
2023/10/26,"4,137.23"
2023/10/25,"4,186.77"
2023/10/24,"4,247.68"
2023/10/23,"4,217.04"
2023/10/20,"4,224.16"
2023/10/19,"4,278.00"
2023/10/18,"4,314.60"
2023/10/17,"4,373.20"
2023/10/16,"4,373.63"
2023/10/13,"4,327.78"
2023/10/12,"4,349.61"
2023/10/11,"4,376.95"
2023/10/10,"4,358.24"
2023/10/9,"4,335.66"
2023/10/6,"4,308.50"
2023/10/5,"4,258.19"
2023/10/4,"4,263.75"
2023/10/3,"4,229.45"
2023/10/2,"4,288.39"
2023/9/29,"4,288.05"
2023/9/28,"4,299.70"
2023/9/27,"4,274.51"
2023/9/26,"4,273.53"
2023/9/25,"4,337.44"
2023/9/22,"4,320.06"
2023/9/21,"4,330.00"
2023/9/20,"4,402.20"
2023/9/19,"4,443.95"
2023/9/18,"4,453.53"
2023/9/15,"4,450.32"
2023/9/14,"4,505.10"
2023/9/13,"4,467.44"
2023/9/12,"4,461.90"
2023/9/11,"4,487.46"
2023/9/8,"4,457.49"
2023/9/7,"4,451.14"
2023/9/6,"4,465.48"
2023/9/5,"4,496.83"
2023/9/1,"4,515.77"
2023/8/31,"4,507.66"
2023/8/30,"4,514.87"
2023/8/29,"4,497.63"
2023/8/28,"4,433.31"
2023/8/25,"4,405.71"
2023/8/24,"4,376.31"
2023/8/23,"4,436.01"
2023/8/22,"4,387.55"
2023/8/21,"4,399.77"
2023/8/18,"4,369.71"
2023/8/17,"4,370.36"
2023/8/16,"4,404.33"
2023/8/15,"4,437.86"
2023/8/14,"4,489.72"
2023/8/11,"4,464.05"
2023/8/10,"4,468.83"
2023/8/9,"4,467.71"
2023/8/8,"4,499.38"
2023/8/7,"4,518.44"
2023/8/4,"4,478.03"
2023/8/3,"4,501.89"
2023/8/2,"4,513.39"
2023/8/1,"4,576.73"
2023/7/31,"4,588.96"
2023/7/28,"4,582.23"
2023/7/27,"4,537.41"
2023/7/26,"4,566.75"
2023/7/25,"4,567.46"
2023/7/24,"4,554.64"
2023/7/21,"4,536.34"
2023/7/20,"4,534.87"
2023/7/19,"4,565.72"
2023/7/18,"4,554.98"
2023/7/17,"4,522.79"
2023/7/14,"4,505.42"
2023/7/13,"4,510.04"
2023/7/12,"4,472.16"
2023/7/11,"4,439.26"
2023/7/10,"4,409.53"
2023/7/7,"4,398.95"
2023/7/6,"4,411.59"
2023/7/5,"4,446.82"
2023/7/3,"4,455.59"
2023/6/30,"4,450.38"
2023/6/29,"4,396.44"
2023/6/28,"4,376.86"
2023/6/27,"4,378.41"
2023/6/26,"4,328.82"
2023/6/23,"4,348.33"
2023/6/22,"4,381.89"
2023/6/21,"4,365.69"
2023/6/20,"4,388.71"
2023/6/16,"4,409.59"
2023/6/15,"4,425.84"
2023/6/14,"4,372.59"
2023/6/13,"4,369.01"
2023/6/12,"4,338.93"
2023/6/9,"4,298.86"
2023/6/8,"4,293.93"
2023/6/7,"4,267.52"
2023/6/6,"4,283.85"
2023/6/5,"4,273.79"
2023/6/2,"4,282.37"
2023/6/1,"4,221.02"
2023/5/31,"4,179.83"
2023/5/30,"4,205.52"
2023/5/26,"4,205.45"
2023/5/25,"4,151.28"
2023/5/24,"4,115.24"
2023/5/23,"4,145.58"
2023/5/22,"4,192.63"
2023/5/19,"4,191.98"
2023/5/18,"4,198.05"
2023/5/17,"4,158.77"
2023/5/16,"4,109.90"
2023/5/15,"4,136.28"
2023/5/12,"4,124.08"
2023/5/11,"4,130.62"
2023/5/10,"4,137.64"
2023/5/9,"4,119.17"
2023/5/8,"4,138.12"
2023/5/5,"4,136.25"
2023/5/4,"4,061.22"
2023/5/3,"4,090.75"
2023/5/2,"4,119.58"
2023/5/1,"4,167.87"
2023/4/28,"4,169.48"
2023/4/27,"4,135.35"
2023/4/26,"4,055.99"
2023/4/25,"4,071.63"
2023/4/24,"4,137.04"
2023/4/21,"4,133.52"
2023/4/20,"4,129.79"
2023/4/19,"4,154.52"
2023/4/18,"4,154.87"
2023/4/17,"4,151.32"
2023/4/14,"4,137.64"
2023/4/13,"4,146.22"
2023/4/12,"4,091.95"
2023/4/11,"4,108.94"
2023/4/10,"4,109.11"
2023/4/6,"4,105.02"
2023/4/5,"4,090.38"
2023/4/4,"4,100.60"
2023/4/3,"4,124.51"
2023/3/31,"4,109.31"
2023/3/30,"4,050.83"
2023/3/29,"4,027.81"
2023/3/28,"3,971.27"
2023/3/27,"3,977.53"
2023/3/24,"3,970.99"
2023/3/23,"3,948.72"
2023/3/22,"3,936.97"
2023/3/21,"4,002.87"
2023/3/20,"3,951.57"
2023/3/17,"3,916.64"
2023/3/16,"3,960.28"
2023/3/15,"3,891.93"
2023/3/14,"3,919.29"
2023/3/13,"3,855.76"
2023/3/10,"3,861.59"
2023/3/9,"3,918.32"
2023/3/8,"3,992.01"
2023/3/7,"3,986.37"
2023/3/6,"4,048.42"
2023/3/3,"4,045.64"
2023/3/2,"3,981.35"
2023/3/1,"3,951.39"
2023/2/28,"3,970.15"
2023/2/27,"3,982.24"
2023/2/24,"3,970.04"
2023/2/23,"4,012.32"
2023/2/22,"3,991.05"
2023/2/21,"3,997.34"
2023/2/17,"4,079.09"
2023/2/16,"4,090.41"
2023/2/15,"4,147.60"
2023/2/14,"4,136.13"
2023/2/13,"4,137.29"
2023/2/10,"4,090.46"
2023/2/9,"4,081.50"
2023/2/8,"4,117.86"
2023/2/7,"4,164.00"
2023/2/6,"4,111.08"
2023/2/3,"4,136.48"
2023/2/2,"4,179.76"
2023/2/1,"4,119.21"
2023/1/31,"4,076.60"
2023/1/30,"4,017.77"
2023/1/27,"4,070.56"
2023/1/26,"4,060.43"
2023/1/25,"4,016.22"
2023/1/24,"4,016.95"
2023/1/23,"4,019.81"
2023/1/20,"3,972.61"
2023/1/19,"3,898.85"
2023/1/18,"3,928.86"
2023/1/17,"3,990.97"
2023/1/13,"3,999.09"
2023/1/12,"3,983.17"
2023/1/11,"3,969.61"
2023/1/10,"3,919.25"
2023/1/9,"3,892.09"
2023/1/6,"3,895.08"
2023/1/5,"3,808.10"
2023/1/4,"3,852.97"
2023/1/3,"3,824.14"
2022/12/30,"3,839.50"
2022/12/29,"3,849.28"
2022/12/28,"3,783.22"
2022/12/27,"3,829.25"
2022/12/23,"3,844.82"
2022/12/22,"3,822.39"
2022/12/21,"3,878.44"
2022/12/20,"3,821.62"
2022/12/19,"3,817.66"
2022/12/16,"3,852.36"
2022/12/15,"3,895.75"
2022/12/14,"3,995.32"
2022/12/13,"4,019.65"
2022/12/12,"3,990.56"
2022/12/9,"3,934.38"
2022/12/8,"3,963.51"
2022/12/7,"3,933.92"
2022/12/6,"3,941.26"
2022/12/5,"3,998.84"
2022/12/2,"4,071.70"
2022/12/1,"4,076.57"
2022/11/30,"4,080.11"
2022/11/29,"3,957.63"
2022/11/28,"3,963.94"
2022/11/25,"4,026.12"
2022/11/23,"4,027.26"
2022/11/22,"4,003.58"
2022/11/21,"3,949.94"
2022/11/18,"3,965.34"
2022/11/17,"3,946.56"
2022/11/16,"3,958.79"
2022/11/15,"3,991.73"
2022/11/14,"3,957.25"
2022/11/11,"3,992.93"
2022/11/10,"3,956.37"
2022/11/9,"3,748.57"
2022/11/8,"3,828.11"
2022/11/7,"3,806.80"
2022/11/4,"3,770.55"
2022/11/3,"3,719.89"
2022/11/2,"3,759.69"
2022/11/1,"3,856.10"
2022/10/31,"3,871.98"
2022/10/28,"3,901.06"
2022/10/27,"3,807.30"
2022/10/26,"3,830.60"
2022/10/25,"3,859.11"
2022/10/24,"3,797.34"
2022/10/21,"3,752.75"
2022/10/20,"3,665.78"
2022/10/19,"3,695.16"
2022/10/18,"3,719.98"
2022/10/17,"3,677.95"
2022/10/14,"3,583.07"
2022/10/13,"3,669.91"
2022/10/12,"3,577.03"
2022/10/11,"3,588.84"
2022/10/10,"3,612.39"
2022/10/7,"3,639.66"
2022/10/6,"3,744.52"
2022/10/5,"3,783.28"
2022/10/4,"3,790.93"
2022/10/3,"3,678.43"
2022/9/30,"3,585.62"
2022/9/29,"3,640.47"
2022/9/28,"3,719.04"
2022/9/27,"3,647.29"
2022/9/26,"3,655.04"
2022/9/23,"3,693.23"
2022/9/22,"3,757.99"
2022/9/21,"3,789.93"
2022/9/20,"3,855.93"
2022/9/19,"3,899.89"
2022/9/16,"3,873.33"
2022/9/15,"3,901.35"
2022/9/14,"3,946.01"
2022/9/13,"3,932.69"
2022/9/12,"4,110.41"
2022/9/9,"4,067.36"
2022/9/8,"4,006.18"
2022/9/7,"3,979.87"
2022/9/6,"3,908.19"
2022/9/2,"3,924.26"
2022/9/1,"3,966.85"
2022/8/31,"3,955.00"
2022/8/30,"3,986.16"
2022/8/29,"4,030.61"
2022/8/26,"4,057.66"
2022/8/25,"4,199.12"
2022/8/24,"4,140.77"
2022/8/23,"4,128.73"
2022/8/22,"4,137.99"
2022/8/19,"4,228.48"
2022/8/18,"4,283.74"
2022/8/17,"4,274.04"
2022/8/16,"4,305.20"
2022/8/15,"4,297.14"
2022/8/12,"4,280.15"
2022/8/11,"4,207.27"
2022/8/10,"4,210.24"
2022/8/9,"4,122.47"
2022/8/8,"4,140.06"
2022/8/5,"4,145.19"
2022/8/4,"4,151.94"
2022/8/3,"4,155.17"
2022/8/2,"4,091.19"
2022/8/1,"4,118.63"
2022/7/29,"4,130.29"
2022/7/28,"4,072.43"
2022/7/27,"4,023.61"
2022/7/26,"3,921.05"
2022/7/25,"3,966.84"
2022/7/22,"3,961.63"
2022/7/21,"3,998.95"
2022/7/20,"3,959.90"
2022/7/19,"3,936.69"
2022/7/18,"3,830.85"
2022/7/15,"3,863.16"
2022/7/14,"3,790.38"
2022/7/13,"3,801.78"
2022/7/12,"3,818.80"
2022/7/11,"3,854.43"
2022/7/8,"3,899.38"
2022/7/7,"3,902.62"
2022/7/6,"3,845.08"
2022/7/5,"3,831.39"
2022/7/1,"3,825.33"
2022/6/30,"3,785.38"
2022/6/29,"3,818.83"
2022/6/28,"3,821.55"
2022/6/27,"3,900.11"
2022/6/24,"3,911.74"
2022/6/23,"3,795.73"
2022/6/22,"3,759.89"
2022/6/21,"3,764.79"
2022/6/17,"3,674.84"
2022/6/16,"3,666.77"
2022/6/15,"3,789.99"
2022/6/14,"3,735.48"
2022/6/13,"3,749.63"
2022/6/10,"3,900.86"
2022/6/9,"4,017.82"
2022/6/8,"4,115.77"
2022/6/7,"4,160.68"
2022/6/6,"4,121.43"
2022/6/3,"4,108.54"
2022/6/2,"4,176.82"
2022/6/1,"4,101.23"
2022/5/31,"4,132.15"
2022/5/27,"4,158.24"
2022/5/26,"4,057.84"
2022/5/25,"3,978.73"
2022/5/24,"3,941.48"
2022/5/23,"3,973.75"
2022/5/20,"3,901.36"
2022/5/19,"3,900.79"
2022/5/18,"3,923.68"
2022/5/17,"4,088.85"
2022/5/16,"4,008.01"
2022/5/13,"4,023.89"
2022/5/12,"3,930.08"
2022/5/11,"3,935.18"
2022/5/10,"4,001.05"
2022/5/9,"3,991.24"
2022/5/6,"4,123.34"
2022/5/5,"4,146.87"
2022/5/4,"4,300.17"
2022/5/3,"4,175.48"
2022/5/2,"4,155.38"
2022/4/29,"4,131.93"
2022/4/28,"4,287.50"
2022/4/27,"4,183.96"
2022/4/26,"4,175.20"
2022/4/25,"4,296.12"
2022/4/22,"4,271.78"
2022/4/21,"4,393.66"
2022/4/20,"4,459.45"
2022/4/19,"4,462.21"
2022/4/18,"4,391.69"
2022/4/14,"4,392.59"
2022/4/13,"4,446.59"
2022/4/12,"4,397.45"
2022/4/11,"4,412.53"
2022/4/8,"4,488.28"
2022/4/7,"4,500.21"
2022/4/6,"4,481.15"
2022/4/5,"4,525.12"
2022/4/4,"4,582.64"
2022/4/1,"4,545.86"
2022/3/31,"4,530.41"
2022/3/30,"4,602.45"
2022/3/29,"4,631.60"
2022/3/28,"4,575.52"
2022/3/25,"4,543.06"
2022/3/24,"4,520.16"
2022/3/23,"4,456.24"
2022/3/22,"4,511.61"
2022/3/21,"4,461.18"
2022/3/18,"4,463.12"
2022/3/17,"4,411.67"
2022/3/16,"4,357.86"
2022/3/15,"4,262.45"
2022/3/14,"4,173.11"
2022/3/11,"4,204.31"
2022/3/10,"4,259.52"
2022/3/9,"4,277.88"
2022/3/8,"4,170.70"
2022/3/7,"4,201.09"
2022/3/4,"4,328.87"
2022/3/3,"4,363.49"
2022/3/2,"4,386.54"
2022/3/1,"4,306.26"
2022/2/28,"4,373.94"
2022/2/25,"4,384.65"
2022/2/24,"4,288.70"
2022/2/23,"4,225.50"
2022/2/22,"4,304.76"
2022/2/18,"4,348.87"
2022/2/17,"4,380.26"
2022/2/16,"4,475.01"
2022/2/15,"4,471.07"
2022/2/14,"4,401.67"
2022/2/11,"4,418.64"
2022/2/10,"4,504.08"
2022/2/9,"4,587.18"
2022/2/8,"4,521.54"
2022/2/7,"4,483.87"
2022/2/4,"4,500.53"
2022/2/3,"4,477.44"
2022/2/2,"4,589.38"
2022/2/1,"4,546.54"
2022/1/31,"4,515.55"
2022/1/28,"4,431.85"
2022/1/27,"4,326.51"
2022/1/26,"4,349.93"
2022/1/25,"4,356.45"
2022/1/24,"4,410.13"
2022/1/21,"4,397.94"
2022/1/20,"4,482.73"
2022/1/19,"4,532.76"
2022/1/18,"4,577.11"
2022/1/14,"4,662.85"
2022/1/13,"4,659.03"
2022/1/12,"4,726.35"
2022/1/11,"4,713.07"
2022/1/10,"4,670.29"
2022/1/7,"4,677.03"
2022/1/6,"4,696.05"
2022/1/5,"4,700.58"
2022/1/4,"4,793.54"
2022/1/3,"4,796.56"
2021/12/31,"4,766.18"
2021/12/30,"4,778.73"
2021/12/29,"4,793.06"
2021/12/28,"4,786.35"
2021/12/27,"4,791.19"
2021/12/23,"4,725.79"
2021/12/22,"4,696.56"
2021/12/21,"4,649.23"
2021/12/20,"4,568.02"
2021/12/17,"4,620.64"
2021/12/16,"4,668.67"
2021/12/15,"4,709.85"
2021/12/14,"4,634.09"
2021/12/13,"4,668.97"
2021/12/10,"4,712.02"
2021/12/9,"4,667.45"
2021/12/8,"4,701.21"
2021/12/7,"4,686.75"
2021/12/6,"4,591.67"
2021/12/3,"4,538.43"
2021/12/2,"4,577.10"
2021/12/1,"4,513.04"
2021/11/30,"4,567.00"
2021/11/29,"4,655.27"
2021/11/26,"4,594.62"
2021/11/24,"4,701.46"
2021/11/23,"4,690.70"
2021/11/22,"4,682.94"
2021/11/19,"4,697.96"
2021/11/18,"4,704.54"
2021/11/17,"4,688.67"
2021/11/16,"4,700.90"
2021/11/15,"4,682.80"
2021/11/12,"4,682.85"
2021/11/11,"4,649.27"
2021/11/10,"4,646.71"
2021/11/9,"4,685.25"
2021/11/8,"4,701.70"
2021/11/5,"4,697.53"
2021/11/4,"4,680.06"
2021/11/3,"4,660.57"
2021/11/2,"4,630.65"
2021/11/1,"4,613.67"
2021/10/29,"4,605.38"
2021/10/28,"4,596.42"
2021/10/27,"4,551.68"
2021/10/26,"4,574.79"
2021/10/25,"4,566.48"
2021/10/22,"4,544.90"
2021/10/21,"4,549.78"
2021/10/20,"4,536.19"
2021/10/19,"4,519.63"
2021/10/18,"4,486.46"
2021/10/15,"4,471.37"
2021/10/14,"4,438.26"
2021/10/13,"4,363.80"
2021/10/12,"4,350.65"
2021/10/11,"4,361.19"
2021/10/8,"4,391.34"
2021/10/7,"4,399.76"
2021/10/6,"4,363.55"
2021/10/5,"4,345.72"
2021/10/4,"4,300.46"
2021/10/1,"4,357.04"
2021/9/30,"4,307.54"
2021/9/29,"4,359.46"
2021/9/28,"4,352.63"
2021/9/27,"4,443.11"
2021/9/24,"4,455.48"
2021/9/23,"4,448.98"
2021/9/22,"4,395.64"
2021/9/21,"4,354.19"
2021/9/20,"4,357.73"
2021/9/17,"4,432.99"
2021/9/16,"4,473.75"
2021/9/15,"4,480.70"
2021/9/14,"4,443.05"
2021/9/13,"4,468.73"
2021/9/10,"4,458.58"
2021/9/9,"4,493.28"
2021/9/8,"4,514.07"
2021/9/7,"4,520.03"
2021/9/3,"4,535.43"
2021/9/2,"4,536.95"
2021/9/1,"4,524.09"
2021/8/31,"4,522.68"
2021/8/30,"4,528.79"
2021/8/27,"4,509.37"
2021/8/26,"4,470.00"
2021/8/25,"4,496.19"
2021/8/24,"4,486.23"
2021/8/23,"4,479.53"
2021/8/20,"4,441.67"
2021/8/19,"4,405.80"
2021/8/18,"4,400.27"
2021/8/17,"4,448.08"
2021/8/16,"4,479.71"
2021/8/13,"4,468.00"
2021/8/12,"4,460.83"
2021/8/11,"4,442.41"
2021/8/10,"4,436.75"
2021/8/9,"4,432.35"
2021/8/6,"4,436.52"
2021/8/5,"4,429.10"
2021/8/4,"4,402.66"
2021/8/3,"4,423.15"
2021/8/2,"4,387.16"
2021/7/30,"4,395.26"
2021/7/29,"4,419.15"
2021/7/28,"4,400.64"
2021/7/27,"4,401.46"
2021/7/26,"4,422.30"
2021/7/23,"4,411.79"
2021/7/22,"4,367.48"
2021/7/21,"4,358.69"
2021/7/20,"4,323.06"
2021/7/19,"4,258.49"
2021/7/16,"4,327.16"
2021/7/15,"4,360.03"
2021/7/14,"4,374.30"
2021/7/13,"4,369.21"
2021/7/12,"4,384.63"
2021/7/9,"4,369.55"
2021/7/8,"4,320.82"
2021/7/7,"4,358.13"
2021/7/6,"4,343.54"
2021/7/2,"4,352.34"
2021/7/1,"4,319.94"
2021/6/30,"4,297.50"
2021/6/29,"4,291.80"
2021/6/28,"4,290.61"
2021/6/25,"4,280.70"
2021/6/24,"4,266.49"
2021/6/23,"4,241.84"
2021/6/22,"4,246.44"
2021/6/21,"4,224.79"
2021/6/18,"4,166.45"
2021/6/17,"4,221.86"
2021/6/16,"4,223.70"
2021/6/15,"4,246.59"
2021/6/14,"4,255.15"
2021/6/11,"4,247.44"
2021/6/10,"4,239.18"
2021/6/9,"4,219.55"
2021/6/8,"4,227.26"
2021/6/7,"4,226.52"
2021/6/4,"4,229.89"
2021/6/3,"4,192.85"
2021/6/2,"4,208.12"
2021/6/1,"4,202.04"
2021/5/28,"4,204.11"
2021/5/27,"4,200.88"
2021/5/26,"4,195.99"
2021/5/25,"4,188.13"
2021/5/24,"4,197.05"
2021/5/21,"4,155.86"
2021/5/20,"4,159.12"
2021/5/19,"4,115.68"
2021/5/18,"4,127.83"
2021/5/17,"4,163.29"
2021/5/14,"4,173.85"
2021/5/13,"4,112.50"
2021/5/12,"4,063.04"
2021/5/11,"4,152.10"
2021/5/10,"4,188.43"
2021/5/7,"4,232.60"
2021/5/6,"4,201.62"
2021/5/5,"4,167.59"
2021/5/4,"4,164.66"
2021/5/3,"4,192.66"
2021/4/30,"4,181.17"
2021/4/29,"4,211.47"
2021/4/28,"4,183.18"
2021/4/27,"4,186.72"
2021/4/26,"4,187.62"
2021/4/23,"4,180.17"
2021/4/22,"4,134.98"
2021/4/21,"4,173.42"
2021/4/20,"4,134.94"
2021/4/19,"4,163.26"
2021/4/16,"4,185.47"
2021/4/15,"4,170.42"
2021/4/14,"4,124.66"
2021/4/13,"4,141.59"
2021/4/12,"4,127.99"
2021/4/9,"4,128.80"
2021/4/8,"4,097.17"
2021/4/7,"4,079.95"
2021/4/6,"4,073.94"
2021/4/5,"4,077.91"
2021/4/1,"4,019.87"
2021/3/31,"3,972.89"
2021/3/30,"3,958.55"
2021/3/29,"3,971.09"
2021/3/26,"3,974.54"
2021/3/25,"3,909.52"
2021/3/24,"3,889.14"
2021/3/23,"3,910.52"
2021/3/22,"3,940.59"
2021/3/19,"3,913.10"
2021/3/18,"3,915.46"
2021/3/17,"3,974.12"
2021/3/16,"3,962.71"
2021/3/15,"3,968.94"
2021/3/12,"3,943.34"
2021/3/11,"3,939.34"
2021/3/10,"3,898.81"
2021/3/9,"3,875.44"
2021/3/8,"3,821.35"
2021/3/5,"3,841.94"
2021/3/4,"3,768.47"
2021/3/3,"3,819.72"
2021/3/2,"3,870.29"
2021/3/1,"3,901.82"
2021/2/26,"3,811.15"
2021/2/25,"3,829.34"
2021/2/24,"3,925.43"
2021/2/23,"3,881.37"
2021/2/22,"3,876.50"
2021/2/19,"3,906.71"
2021/2/18,"3,913.97"
2021/2/17,"3,931.33"
2021/2/16,"3,932.59"
2021/2/12,"3,934.83"
2021/2/11,"3,916.38"
2021/2/10,"3,909.88"
2021/2/9,"3,911.23"
2021/2/8,"3,915.59"
2021/2/5,"3,886.83"
2021/2/4,"3,871.74"
2021/2/3,"3,830.17"
2021/2/2,"3,826.31"
2021/2/1,"3,773.86"
2021/1/29,"3,714.24"
2021/1/28,"3,787.38"
2021/1/27,"3,750.77"
2021/1/26,"3,849.62"
2021/1/25,"3,855.36"
2021/1/22,"3,841.47"
2021/1/21,"3,853.07"
2021/1/20,"3,851.85"
2021/1/19,"3,798.91"
2021/1/15,"3,768.25"
2021/1/14,"3,795.54"
2021/1/13,"3,809.84"
2021/1/12,"3,801.19"
2021/1/11,"3,799.61"
2021/1/8,"3,824.68"
2021/1/7,"3,803.79"
2021/1/6,"3,748.14"
2021/1/5,"3,726.86"
2021/1/4,"3,700.65"
